weeks,fruitsNum,fruitsNumPredict,onlyEnv
"(2020, 1)",6.0,22.704009058791517,0
"(2020, 1)",6.0,22.85313317891259,0
"(2020, 1)",6.0,22.85313317891259,0
"(2020, 1)",6.0,22.85313317891259,0
"(2020, 1)",6.0,22.85313317891259,0
"(2020, 1)",6.0,22.85313317891259,0
"(2020, 1)",6.0,22.85313317891259,0
"(2020, 1)",6.0,23.383299845579263,0
"(2020, 1)",6.0,23.383299845579263,0
"(2020, 1)",6.0,23.383299845579263,0
"(2020, 1)",6.0,23.383299845579263,0
"(2020, 1)",6.0,23.537822572851994,0
"(2020, 1)",6.0,23.537822572851994,0
"(2020, 1)",6.0,23.537822572851994,0
"(2020, 1)",6.0,23.537822572851994,0
"(2020, 1)",6.0,23.537822572851994,0
"(2020, 1)",6.0,23.537822572851994,0
"(2020, 1)",6.0,23.537822572851994,0
"(2020, 1)",6.0,23.537822572851994,0
"(2020, 1)",6.0,23.537822572851994,0
"(2020, 1)",6.0,23.459905906185323,0
"(2020, 1)",6.0,23.459905906185323,0
"(2020, 1)",6.0,23.459905906185323,0
"(2020, 1)",6.0,23.40565590618532,0
"(2020, 1)",6.0,23.205864239518654,0
"(2020, 1)",6.0,23.205864239518654,0
"(2020, 1)",6.0,23.205864239518654,0
"(2020, 1)",6.0,23.205864239518654,0
"(2020, 1)",6.0,23.205864239518654,0
"(2020, 1)",6.0,23.755127309781727,0
"(2020, 1)",6.0,23.755127309781727,0
"(2020, 1)",6.0,23.755127309781727,0
"(2020, 1)",6.0,23.755127309781727,0
"(2020, 1)",6.0,23.755127309781727,0
"(2020, 1)",6.0,23.755127309781727,0
"(2020, 1)",6.0,23.755127309781727,0
"(2020, 1)",6.0,23.834841595496012,0
"(2020, 1)",6.0,23.876508262162684,0
"(2020, 1)",6.0,23.876508262162684,0
"(2020, 1)",6.0,23.876508262162684,0
"(2020, 1)",6.0,23.876508262162684,0
"(2020, 1)",6.0,23.876508262162684,0
"(2020, 1)",6.0,23.876508262162684,0
"(2020, 1)",6.0,23.876508262162684,0
"(2020, 1)",6.0,24.028337627242045,0
"(2020, 1)",6.0,24.028337627242045,0
"(2020, 1)",6.0,24.028337627242045,0
"(2020, 1)",6.0,24.028337627242045,0
"(2020, 1)",6.0,24.028337627242045,0
"(2020, 1)",6.0,24.028337627242045,0
