,fatrCode,facilityId,measDate,weeks,fldCode,sectCode,itemCode,senVal,ymd,cntCollect,num
33956,CI,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,EI,80300,418.1,20200209,20,33958
33957,SO,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,20,33949
33958,TL,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,20,33956
33959,WD,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,EO,80300,7.0,20200209,20,33955
33960,WS,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,EO,80300,3.96,20200209,20,33954
33961,TE,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,EO,80300,10.73,20200209,20,33953
33962,TI,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,EI,80300,25.31,20200209,20,33952
33963,RP,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,20,33951
33964,SI,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,20,33950
33965,EI,PF_0010019_01,2020-02-09 14:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,20,33957
33966,EO,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,33978
33967,EL,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,EL,80300,3.01,20200209,19,33979
33968,HL,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,33980
33969,HE,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,EO,80300,47.84,20200209,19,33977
33970,PO,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,33982
33971,PL,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,EL,80300,5.74,20200209,19,33983
33972,SI,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,19,33984
33973,HI,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,EI,80300,78.06,20200209,19,33981
33974,CI,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,EI,80300,372.63,20200209,19,33976
33975,SO,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,19,33967
33976,TL,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,19,33974
33977,WD,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,EO,80300,6.89,20200209,19,33973
33978,WS,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,EO,80300,4.58,20200209,19,33972
33979,TE,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,EO,80300,9.1,20200209,19,33971
33980,TI,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,EI,80300,25.61,20200209,19,33970
33981,RP,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,19,33969
33982,PI,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,19,33968
33983,EI,PF_0010019_01,2020-02-09 15:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,19,33975
33984,SI,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,20,33996
33985,RP,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,20,33997
33986,TI,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,EI,80300,22.5,20200209,20,33998
33987,TL,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,20,34002
33988,WS,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,EO,80300,3.55,20200209,20,34000
33989,WD,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,EO,80300,6.95,20200209,20,34001
33990,SO,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,20,33995
33991,TE,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,EO,80300,7.67,20200209,20,33999
33992,PL,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,EL,80300,5.77,20200209,20,33994
33993,EI,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,20,33985
33994,HI,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,EI,80300,84.01,20200209,20,33992
33995,HL,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33991
33996,PI,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,20,33990
33997,EL,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,EL,80300,3.02,20200209,20,33989
33998,EO,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33988
33999,HE,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,EO,80300,53.45,20200209,20,33987
34000,CI,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,EI,80300,234.8,20200209,20,33986
34001,PO,PF_0010019_01,2020-02-09 16:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,33993
34002,TE,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,EO,80300,5.14,20200209,19,34020
34003,HL,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,34019
34004,RP,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,19,34018
34005,EI,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,19,34017
34006,PI,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,19,34016
34007,TI,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,EI,80300,17.74,20200209,19,34015
34008,CI,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,EI,80300,205.42,20200209,19,34014
34009,EL,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,EL,80300,3.01,20200209,19,34013
34010,EO,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,34012
34011,HE,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,EO,80300,60.32,20200209,19,34010
34012,WS,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,EO,80300,2.9,20200209,19,34009
34013,SO,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,19,34008
34014,HI,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,EI,80300,88.17,20200209,19,34007
34015,TL,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,NT,80300,90.0,20200209,19,34006
34016,PO,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,19,34005
34017,WD,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,EO,80300,6.63,20200209,19,34004
34018,PL,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,EL,80300,5.83,20200209,19,34003
34019,SI,PF_0010019_01,2020-02-09 17:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,19,34011
34020,PL,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,EL,80300,5.89,20200209,20,34038
34021,WS,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,EO,80300,1.75,20200209,20,34032
34022,TE,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,EO,80300,2.92,20200209,20,34033
34023,WD,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,EO,80300,6.9,20200209,20,34031
34024,RP,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,EO,80300,0.0,20200209,20,34035
34025,SI,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,NT,80300,20.0,20200209,20,34036
34026,SO,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,NT,80300,300.0,20200209,20,34037
34027,TI,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,EI,80300,16.26,20200209,20,34034
34028,EI,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,NT,80300,2.9,20200209,20,34030
34029,EO,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,34027
34030,CI,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,EI,80300,245.1,20200209,20,34028
34031,EL,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,EL,80300,2.95,20200209,20,34026
34032,PI,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,NT,80300,5.5,20200209,20,34025
34033,HL,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,34024
34034,HE,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,EO,80300,67.95,20200209,20,34023
34035,HI,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,EI,80300,92.07,20200209,20,34022
34036,PO,PF_0010019_01,2020-02-09 18:00:00,"(2020, 6)",FG,NT,80300,0.0,20200209,20,34021
